,product-ratingsContainer,product-ratingsCount,product-base href,product-brand,product-product,product-sizeInventoryPresent,product-discountedPrice,product-strike,product-discountPercentage,product-category
1854,4.0,72,https://www.myntra.com/jeans/highlander/highlander-men-blue-tapered-fit-mildly-distressed-heavy-fade-stretchable-jeans/15731118/buy,HIGHLANDER,Men Tapered Fit Jeans,34,Rs. 611,Rs. 1799,(66% OFF),bottomwear
1855,0.0,0,https://www.myntra.com/trousers/v-mart/v-mart-men-classic-mid--rise-cotton-casual-trouser/22567284/buy,V-Mart,Men Cotton Casual Trouser,30,Rs. 629,Rs. 699,(10% OFF),bottomwear
1857,3.8,496,https://www.myntra.com/trousers/roadster/roadster-men-red-regular-fit-solid-regular-trousers/13859206/buy,Roadster,Men Regular Fit Regular Trousers,28,Rs. 599,Rs. 1299,(Rs. 700 OFF),bottomwear
1858,0.0,0,https://www.myntra.com/track-pants/jumpcuts/jumpcuts-men-slim-fit-cotton-joggers/22615884/buy,JUMPCUTS,Men Slim-Fit Joggers,S,Rs. 551,Rs. 1199,(54% OFF),bottomwear
1859,3.8,140,https://www.myntra.com/track-pants/highlander/highlander-men-white-solid-slim-fit-track-pants/16090630/buy,HIGHLANDER,Men Solid Slim-Fit Track Pants,S,Rs. 571,Rs. 1299,(56% OFF),bottomwear
1860,3.1,10,https://www.myntra.com/jeans/ketch/ketch-men-charcoal-straight-fit-cotton-stretchable-jeans/20151622/buy,KETCH,Men Straight Fit Jeans,30,Rs. 650,Rs. 1649,(Rs. 999 OFF),bottomwear
1861,4.2,57,https://www.myntra.com/track-pants/mast--harbour/mast--harbour-men-light-blue-solid-track-pants/17742016/buy,Mast & Harbour,Men Solid Track Pants,L,Rs. 569,Rs. 1899,(70% OFF),bottomwear
1862,3.3,23,https://www.myntra.com/jeans/the-indian-garage-co/the-indian-garage-co-men-blue-slim-fit-mid-rise-clean-look-jeans/12276206/buy,The Indian Garage Co,Men Slim Fit Jeans,32,Rs. 659,Rs. 1999,(67% OFF),bottomwear
1863,3.8,15,https://www.myntra.com/track-pants/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-yoga-men-aqua-melange-slim-fit-organic-cotton-solid-joggers/17859230/buy,HRX by Hrithik Roshan,Men Yoga Cotton Joggers,S,Rs. 599,Rs. 1999,(70% OFF),bottomwear
1864,0.0,0,https://www.myntra.com/track-pants/dpassion/dpassion-men-brand-logo-printed-rapid-dry-running-track-pants/22394704/buy,Dpassion,Men Running Track Pants,L,Rs. 539,Rs. 999,(46% OFF),bottomwear
1865,3.9,120,https://www.myntra.com/trousers/hubberholme/hubberholme-men-green-slim-fit-solid-trousers/9355197/buy,Hubberholme,Men Slim Fit Trousers,30,Rs. 649,Rs. 1299,(50% OFF),bottomwear
1866,4.3,50,https://www.myntra.com/track-pants/mast--harbour/mast--harbour-men-green-solid-track-pants/17742018/buy,Mast & Harbour,Men Solid Track Pants,L,Rs. 569,Rs. 1899,(70% OFF),bottomwear
1867,3.8,6,https://www.myntra.com/jeans/v-mart/v-mart-men-cotton-clean-look-mid-rise-classic-slim-fit-jeans/22498574/buy,V-Mart,Men Cotton Slim Fit Jeans,28,Rs. 629,Rs. 699,(10% OFF),bottomwear
1868,4.0,34,https://www.myntra.com/track-pants/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-cream-coloured-pure-cotton-solid-joggers/17859398/buy,HRX by Hrithik Roshan,Men Cotton Solid Joggers,S,Rs. 599,Rs. 1999,(70% OFF),bottomwear
1869,0.0,0,https://www.myntra.com/trousers/v-mart/v-mart-men-khaki-classic-slim-fit-chinos-trousers/19225382/buy,V-Mart,Men Slim Fit Chinos Trousers,36,Rs. 600,Rs. 1000,(40% OFF),bottomwear
1870,4.0,751,https://www.myntra.com/track-pants/highlander/highlander-men-navy-blue-solid-slim-fit-track-pants/14441196/buy,HIGHLANDER,Men Solid Slim Fit Track Pants,M,Rs. 559,Rs. 949,(41% OFF),bottomwear
1871,3.9,15,https://www.myntra.com/track-pants/bewakoof/bewakoof-men-blue-solid-pure-cotton-joggers/15778244/buy,Bewakoof,Men Solid Pure Cotton Joggers,S,Rs. 558,Rs. 899,(Rs. 341 OFF),bottomwear
1872,0.0,0,https://www.myntra.com/shorts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-lifestyle-typography-printed-pure-cotton-terry-shorts/22803876/buy,HRX by Hrithik Roshan,Typography Printed Shorts,28,Rs. 494,Rs. 899,(45% OFF),bottomwear
1874,0.0,0,https://www.myntra.com/shorts/the-indian-garage-co/the-indian-garage-co-men-rust-printed-shorts/18953926/buy,The Indian Garage Co,Men Printed Shorts,34,Rs. 494,Rs. 1499,(67% OFF),bottomwear
1875,3.6,54,https://www.myntra.com/jeans/highlander/highlander-men-grey-tapered-fit-heavy-fade-stretchable-jeans/15745648/buy,HIGHLANDER,Men Tapered Fit Jeans,32,Rs. 611,Rs. 1699,(64% OFF),bottomwear
1876,3.7,19,https://www.myntra.com/track-pants/prowl-by-tiger-shroff/prowl-by-tiger-shroff-men-black-joggers/19633420/buy,PROWL by Tiger Shroff,Men Solid Joggers,XL,Rs. 559,Rs. 1599,(65% OFF),bottomwear
1877,3.9,742,https://www.myntra.com/trousers/roadster/roadster-men-brown-regular-fit-solid-chinos/13859124/buy,Roadster,Men Regular Fit Chinos,28,Rs. 599,Rs. 1299,(Rs. 700 OFF),bottomwear
1878,3.8,17,https://www.myntra.com/track-pants/rigo/rigo-men-navy-blue-solid-cotton-joggers/15652112/buy,Rigo,Men Solid Cotton Joggers,XXL,Rs. 594,Rs. 1699,(65% OFF),bottomwear
1879,3.3,23,https://www.myntra.com/track-pants/prowl-by-tiger-shroff/prowl-by-tiger-shroff-men-navy-blue-solid-joggers/19633388/buy,PROWL by Tiger Shroff,Men Solid Joggers,M,Rs. 539,Rs. 1799,(70% OFF),bottomwear
1880,0.0,0,https://www.myntra.com/jeans/ketch/ketch-men-grey-slim-fit-stretchable-jeans/15765304/buy,KETCH,Men Slim Fit Jeans,30,Rs. 649,Rs. 1749,(Rs. 1100 OFF),bottomwear
1881,0.0,0,https://www.myntra.com/jeans/ketch/ketch-men-grey-slim-fit-stretchable-jeans/19201104/buy,KETCH,Men Slim Fit Jeans,32,Rs. 649,Rs. 1599,(Rs. 950 OFF),bottomwear
1882,4.1,173,https://www.myntra.com/shorts/highlander/highlander-men-olive-green-printed-slim-fit-regular-shorts/13815378/buy,HIGHLANDER,Men Slim Fit Regular Shorts,30,Rs. 519,Rs. 1299,(60% OFF),bottomwear
1883,3.4,62,https://www.myntra.com/jeans/highlander/highlander-men-grey-slim-fit-heavy-fade-stretchable-jeans/15745676/buy,HIGHLANDER,Men Slim Fit Jeans,30,Rs. 611,Rs. 1699,(64% OFF),bottomwear
1884,3.8,270,https://www.myntra.com/jeans/highlander/highlander-men-blue-tapered-fit-heavy-fade-jeans/15102024/buy,HIGHLANDER,Men Tapered Fit Jeans,32,Rs. 644,Rs. 1499,(57% OFF),bottomwear
1885,3.1,14,https://www.myntra.com/trousers/ketch/ketch-men-blue-slim-fit-cotton-trousers/15769418/buy,KETCH,Men Slim Fit Cotton Trousers,32,Rs. 629,Rs. 1749,(64% OFF),bottomwear
1886,0.0,0,https://www.myntra.com/track-pants/everdion/everdion-men-regular-fit-mid-rise-track-pants/22325062/buy,EVERDION,Men Regular Fit Track Pants,XS,Rs. 599,Rs. 1999,(70% OFF),bottomwear
1887,3.7,1.3k,https://www.myntra.com/track-pants/rigo/rigo-men-black-joggers/7502554/buy,Rigo,Men Joggers,M,Rs. 584,Rs. 1299,(55% OFF),bottomwear
1888,0.0,0,https://www.myntra.com/shorts/neva/neva-men-grey-sports-cotton-shorts/17926268/buy,NEVA,Men Sports Shorts,32,Rs. 512,Rs. 569,(10% OFF),bottomwear
1889,0.0,0,https://www.myntra.com/shorts/tripr/tripr-men-pack-of-2-mid-rise-casual-cotton-shorts/22613130/buy,TRIPR,Men Pack Of 2 Cotton Shorts,30,Rs. 499,Rs. 1999,(75% OFF),bottomwear
1890,0.0,0,https://www.myntra.com/track-pants/fitinc/fitinc-men-grey-solid-rapid-dry-track-pants/19923280/buy,FITINC,Men Solid Rapid-Dry Pants,S,Rs. 599,Rs. 1499,(60% OFF),bottomwear
1891,3.9,42,https://www.myntra.com/track-pants/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-yoga-men-grey-melange-organic-cotton-track-pants/17859372/buy,HRX by Hrithik Roshan,Men Yoga Track Pants,XL,Rs. 569,Rs. 1899,(70% OFF),bottomwear
1892,0.0,0,https://www.myntra.com/shorts/the-indian-garage-co/the-indian-garage-co-men-blue-shorts/18953934/buy,The Indian Garage Co,Men Shorts,32,Rs. 494,Rs. 1499,(67% OFF),bottomwear
1893,0.0,0,https://www.myntra.com/shorts/the-indian-garage-co/the-indian-garage-co-men-black-striped-shorts/18953890/buy,The Indian Garage Co,Men Striped Shorts,30,Rs. 494,Rs. 1499,(67% OFF),bottomwear
1894,3.6,178,https://www.myntra.com/track-pants/kook-n-keech/kook-n-keech-men-navy-blue-printed-straight-fit-joggers/13732064/buy,Kook N Keech,Men Straight Fit Joggers,S,Rs. 559,Rs. 1399,(60% OFF),bottomwear
1895,4.0,6,https://www.myntra.com/trousers/highlander/highlander-men-smart-formal-trousers-with-elasticated-waist-band--turn-up-hem/21062672/buy,HIGHLANDER,Men Slim Fit Trouser,30,Rs. 637,Rs. 2199,(71% OFF),bottomwear
1896,0.0,0,https://www.myntra.com/track-pants/hubberholme/hubberholme-men-graphic-printed-detail-regular-fit-joggers/22063740/buy,Hubberholme,Men Regular Fit Joggers,L,Rs. 591,Rs. 1599,(63% OFF),bottomwear
1897,3.9,137,https://www.myntra.com/trousers/ketch/ketch-men-white-slim-fit-trousers/15769294/buy,KETCH,Men Slim Fit Trousers,30,Rs. 649,Rs. 1749,(Rs. 1100 OFF),bottomwear
1898,0.0,0,https://www.myntra.com/track-pants/dollar/dollar-men-cotton-side-striped-track-pants/21648346/buy,Dollar,Men Cotton Side Striped Track Pants,S,Rs. 524,Rs. 749,(30% OFF),bottomwear
1899,3.6,220,https://www.myntra.com/track-pants/kook-n-keech/kook-n-keech-men-black-solid-track-pants/13916264/buy,Kook N Keech,Men Solid Track Pants,S,Rs. 559,Rs. 1399,(60% OFF),bottomwear
1900,0.0,0,https://www.myntra.com/track-pants/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-typography-regular-fit-joggers/22465874/buy,HRX by Hrithik Roshan,Men Regular Fit Joggers,S,Rs. 599,Rs. 999,(40% OFF),bottomwear
1901,3.8,5,https://www.myntra.com/track-pants/the-indian-garage-co/the-indian-garage-co-men-charcoal-grey-typography-printed-melange-effect-track-pants/18948604/buy,The Indian Garage Co,Men Printed Track Pants,L,Rs. 577,Rs. 1749,(67% OFF),bottomwear
1902,3.6,5,https://www.myntra.com/shorts/cantabil/cantabil-men-blue-solid-mid-rise-chinos-shorts/14957132/buy,Cantabil,Blue Mid-Rise Chinos Shorts,30,Rs. 479,Rs. 1599,(70% OFF),bottomwear
1903,4.1,44,https://www.myntra.com/jeans/the-indian-garage-co/the-indian-garage-co-men-blue-slim-fit-mid-rise-clean-look-stretchable-jeans/13009202/buy,The Indian Garage Co,Men Slim Fit Jeans,30,Rs. 659,Rs. 1999,(67% OFF),bottomwear
1904,3.0,15,https://www.myntra.com/jeans/the-indian-garage-co/the-indian-garage-co-men-black-slim-fit-mid-rise-clean-look-jeans/12276204/buy,The Indian Garage Co,Men Slim Fit Jeans,30,Rs. 659,Rs. 1999,(67% OFF),bottomwear
1905,4.3,16,https://www.myntra.com/shorts/bewakoof/bewakoof-men-solid-shorts/19862918/buy,Bewakoof,Men Solid Shorts,28,Rs. 499,Rs. 699,(Rs. 200 OFF),bottomwear
1906,4.9,9,https://www.myntra.com/shorts/old-grey/old-grey-men-washed-slim-fit-denim-shorts/21753828/buy,Old Grey,Men Slim Fit Denim Shorts,30,Rs. 479,Rs. 1599,(70% OFF),bottomwear
1907,3.7,90,https://www.myntra.com/trousers/ketch/ketch-men-magenta-slim-fit-easy-wash-trousers/15770714/buy,KETCH,Men Slim Fit Trousers,32,Rs. 629,Rs. 1749,(64% OFF),bottomwear
1908,3.6,13,https://www.myntra.com/track-pants/duke/duke-men-black-solid-slim-fit-cotton-joggers/17450816/buy,Duke,Men Solid Slim-Fit Cotton Joggers,XL,Rs. 522,Rs. 1045,(50% OFF),bottomwear
1909,4.1,15,https://www.myntra.com/jeans/ketch/ketch-men-grey-slim-fit-jeans/15765270/buy,KETCH,Men Slim Fit Jeans,32,Rs. 649,Rs. 1749,(Rs. 1100 OFF),bottomwear
1910,4.5,37,https://www.myntra.com/shorts/manq-casual/manq-casual-men-khaki-pure-cotton-slim-fit-mid-rise-training-shorts/14141578/buy,ManQ CASUAL,Men Cotton Slim Fit Shorts,30,Rs. 475,Rs. 1399,(66% OFF),bottomwear
1911,3.4,157,https://www.myntra.com/jeans/highlander/highlander-men-blue-tapered-fit-heavy-fade-jeans/14645994/buy,HIGHLANDER,Men Tapered Fit Jeans,30,Rs. 639,Rs. 1599,(60% OFF),bottomwear
1912,4.0,67,https://www.myntra.com/track-pants/mast--harbour/mast--harbour-men-peach-coloured-solid-regular-fit-joggers/17673834/buy,Mast & Harbour,Men Solid Joggers,S,Rs. 539,Rs. 1799,(70% OFF),bottomwear
1913,3.7,11,https://www.myntra.com/jeans/dennis-lingo/dennis-lingo-mens-blue-slim-fit-stretchable-denim-jeans/18708660/buy,Dennis Lingo,Men's Slim Fit Denim Jeans,28,Rs. 599,Rs. 2849,(Rs. 2250 OFF),bottomwear
1914,3.4,14,https://www.myntra.com/shorts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-charcoal-grey-pure-cotton-printed-yoga-sustainable-shorts/15308952/buy,HRX by Hrithik Roshan,Men Cotton Printed Yoga Sustainable Shorts,28,Rs. 479,Rs. 1599,(70% OFF),bottomwear
1915,0.0,0,https://www.myntra.com/jeans/ketch/ketch-men-blue-straight-fit-clean-look-light-fade-stretchable-jeans/19587860/buy,KETCH,Men Blue Straight Fit Jeans,32,Rs. 649,Rs. 1799,(Rs. 1150 OFF),bottomwear
1916,0.0,0,https://www.myntra.com/track-pants/ketch/ketch-men-white-printed-regular-fit-track-pants/20151636/buy,KETCH,Men Track Pants,S,Rs. 539,Rs. 1349,(60% OFF),bottomwear
1917,3.9,8.3k,https://www.myntra.com/track-pants/highlander/highlander-men-black-solid-slim-fit-track-pants/9838371/buy,HIGHLANDER,Men Slim-Fit Track Pants,M,Rs. 549,Rs. 999,(45% OFF),bottomwear
1918,4.4,40,https://www.myntra.com/track-pants/ajile-by-pantaloons/ajile-by-pantaloons-men-black-solid-slim-fit-cotton-joggers/17409032/buy,Ajile by Pantaloons,Men Solid Cotton Joggers,M,Rs. 524,Rs. 1049,(50% OFF),bottomwear
1920,3.8,76,https://www.myntra.com/trousers/ketch/ketch-men-beige-super-slim-fit-easy-wash-cotton-chinos-trousers/15770678/buy,KETCH,Men Slim Fit Chinos Trousers,32,Rs. 629,Rs. 1749,(64% OFF),bottomwear
1921,3.6,20,https://www.myntra.com/trousers/jainish/jainish-men-black-smart-slim-fit-easy-wash-cotton-trousers/17413292/buy,JAINISH,Men Slim Fit Cotton Trousers,30,Rs. 659,Rs. 1999,(67% OFF),bottomwear
1922,0.0,0,https://www.myntra.com/trousers/people/people-men-olive-green-slim-fit-joggers/20735318/buy,People,Men Slim Fit Joggers,28,Rs. 631,Rs. 1149,(45% OFF),bottomwear
1923,4.1,16,https://www.myntra.com/shorts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-navy-blue-pure-cotton-typography-printed-shorts/18185074/buy,HRX by Hrithik Roshan,Men Typography Shorts,28,Rs. 503,Rs. 1199,(58% OFF),bottomwear
1924,4.3,11,https://www.myntra.com/jeans/the-indian-garage-co/the-indian-garage-co-men-blue-slim-fit-low-distress-light-fade-jeans/17729320/buy,The Indian Garage Co,Men Slim Fit Jeans,28,Rs. 659,Rs. 1999,(67% OFF),bottomwear
1925,0.0,0,https://www.myntra.com/trousers/encore-by-invictus/encore-by-invictus-men-black-self-design-checked-regular-fit-mid-rise-plain-woven-trousers/18515514/buy,encore by INVICTUS,Men Checked Mid-Rise Trousers,28,Rs. 664,Rs. 1898,(65% OFF),bottomwear
1926,3.9,10,https://www.myntra.com/track-pants/dpassion/dpassion-men-black-solid-rapid-dry-track-pant/19917236/buy,Dpassion,Men Solid Track Pant,XL,Rs. 539,Rs. 999,(46% OFF),bottomwear
1927,4.6,60,https://www.myntra.com/track-pants/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-clay-pure-cotton-printed-yoga-sustainable-joggers/17859296/buy,HRX by Hrithik Roshan,Men Cotton Yoga Sustainable Joggers,S,Rs. 594,Rs. 1699,(65% OFF),bottomwear
1928,3.9,72,https://www.myntra.com/trousers/ketch/ketch-men-navy-blue-slim-fit-easy-wash-cotton-trousers/15769374/buy,KETCH,Men Slim Fit Trousers,30,Rs. 629,Rs. 1749,(64% OFF),bottomwear
1929,3.7,26,https://www.myntra.com/jeans/ketch/ketch-men-blue-tapered-fit-low-distress-heavy-fade-stretchable-jeans/16606948/buy,KETCH,Men Blue Tapered Fit Jeans,32,Rs. 649,Rs. 1799,(Rs. 1150 OFF),bottomwear
1931,4.6,12,https://www.myntra.com/shorts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-typography-shorts/22002112/buy,HRX by Hrithik Roshan,Men Typography Shorts,34,Rs. 499,Rs. 999,(50% OFF),bottomwear
1932,3.8,73,https://www.myntra.com/trousers/highlander/highlander-men-green-solid-slim-fit-trousers/14896774/buy,HIGHLANDER,Men Slim Fit Trousers,30,Rs. 629,Rs. 2099,(70% OFF),bottomwear
1933,3.9,95,https://www.myntra.com/track-pants/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-training-men-everglade-rapid-dry-solid-track-pants/17209910/buy,HRX by Hrithik Roshan,Men Training Track Pants,S,Rs. 569,Rs. 1899,(70% OFF),bottomwear
1934,3.4,282,https://www.myntra.com/jeans/highlander/highlander-men-grey-tapered-fit-heavy-fade-jeans/15295176/buy,HIGHLANDER,Men Tapered Fit Jeans,30,Rs. 599,Rs. 1499,(60% OFF),bottomwear
1935,3.6,76,https://www.myntra.com/trousers/ketch/ketch-men-teal-slim-fit-chinos-trousers/15769402/buy,KETCH,Men Slim Fit Chinos Trousers,32,Rs. 629,Rs. 1749,(64% OFF),bottomwear
1936,3.2,10,https://www.myntra.com/trousers/encore-by-invictus/encore-by-invictus-men-grey-checked-smart-casual-trousers/18515434/buy,encore by INVICTUS,Men Smart Casual Trousers,30,Rs. 664,Rs. 1898,(65% OFF),bottomwear
1937,3.9,9,https://www.myntra.com/shorts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-typography-printed-shorts/22002124/buy,HRX by Hrithik Roshan,Men Typography Shorts,28,Rs. 499,Rs. 999,(50% OFF),bottomwear
1938,3.4,75,https://www.myntra.com/jeans/highlander/highlander-men-blue-slim-fit-heavy-fade-stretchable-jeans/15740742/buy,HIGHLANDER,Men Slim Fit Jeans,30,Rs. 639,Rs. 1599,(60% OFF),bottomwear
1939,4.2,117,https://www.myntra.com/shorts/highlander/highlander-men-green-checked-slim-fit-regular-shorts/13694372/buy,HIGHLANDER,Men Slim Fit Regular Shorts,32,Rs. 499,Rs. 1249,(60% OFF),bottomwear
1940,0.0,0,https://www.myntra.com/jeans/ketch/ketch-men-blue-slim-fit-clean-look-stretchable-jeans/18873112/buy,KETCH,Men Slim Fit Jeans,36,Rs. 649,Rs. 1799,(Rs. 1150 OFF),bottomwear
1941,3.8,100,https://www.myntra.com/jeans/roadster/roadster-men-blue-slim-fit-light-fade-stretchable-jeans/13866498/buy,Roadster,Men Slim Fit Jeans,28,Rs. 664,Rs. 1899,(65% OFF),bottomwear
1942,4.2,10,https://www.myntra.com/shorts/mast--harbour/mast--harbour-men-regular-fit-knitted-shorts/17801846/buy,Mast & Harbour,Regular Fit Knitted Shorts,30,Rs. 519,Rs. 1299,(60% OFF),bottomwear
1943,4.0,37,https://www.myntra.com/track-pants/kook-n-keech-looney-tunes/kook-n-keech-looney-tunes-men-off-white-printed-joggers/16618460/buy,Kook N Keech Looney Tunes,Men Printed Joggers,XL,Rs. 599,Rs. 1999,(70% OFF),bottomwear
1944,3.5,52,https://www.myntra.com/trousers/highlander/highlander-men-blue-tapered-fit-trousers/16606924/buy,HIGHLANDER,Men Tapered Fit Trousers,32,Rs. 639,Rs. 1599,(60% OFF),bottomwear
1945,3.8,6,https://www.myntra.com/jeans/v-mart/v-mart-men-cotton-clean-look-mid-rise-classic-slim-fit-jeans/22498574/buy,V-Mart,Men Cotton Slim Fit Jeans,28,Rs. 629,Rs. 699,(10% OFF),bottomwear
1946,3.4,166,https://www.myntra.com/shorts/highlander/highlander-men-grey-solid-slim-fit-regular-shorts/13694364/buy,HIGHLANDER,Men Slim Fit Regular Shorts,32,Rs. 494,Rs. 1099,(55% OFF),bottomwear
1947,3.8,333,https://www.myntra.com/track-pants/campus-sutra/campus-sutra-men-grey-striped-track-pants/12229826/buy,Campus Sutra,Men Striped Track Pants,M,Rs. 594,Rs. 1699,(65% OFF),bottomwear
1948,3.6,16,https://www.myntra.com/jeans/roadster/the-roadster-lifestyle-co-men-light-blue-slim-fit-mid-rise-acid-wash-stretchable-jeans/18094664/buy,Roadster,Men Slim Fit Mid-Rise Jeans,32,Rs. 674,Rs. 2499,(73% OFF),bottomwear
1949,0.0,0,https://www.myntra.com/shorts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-olive-green-typography-shorts/22803870/buy,HRX by Hrithik Roshan,Men Typography Shorts,34,Rs. 494,Rs. 899,(45% OFF),bottomwear
1950,4.1,133,https://www.myntra.com/shorts/highlander/highlander-men-red-printed-slim-fit-regular-shorts/15228438/buy,HIGHLANDER,Men Slim Fit Regular Shorts,32,Rs. 507,Rs. 1449,(65% OFF),bottomwear
1951,4.1,616,https://www.myntra.com/shorts/locomotive/locomotive-men-navy-blue--orange-colourblocked-slim-fit-sports-shorts/13780146/buy,LOCOMOTIVE,Men Slim Fit Sports Shorts,30,Rs. 494,Rs. 899,(45% OFF),bottomwear
1953,3.4,71,https://www.myntra.com/trousers/ketch/ketch-men-grey-slim-fit-cotton-chinos-/15769296/buy,KETCH,Men Slim Fit Chinos,30,Rs. 629,Rs. 1749,(64% OFF),bottomwear
1954,3.9,113,https://www.myntra.com/jeans/highlander/highlander-men-blue-slim-fit-stretchable-jeans/15745684/buy,HIGHLANDER,Men Slim Fit Jeans,34,Rs. 611,Rs. 1699,(64% OFF),bottomwear
1955,3.8,5,https://www.myntra.com/shorts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-typography-printed-shorts/22002110/buy,HRX by Hrithik Roshan,Men Typography Shorts,28,Rs. 499,Rs. 999,(50% OFF),bottomwear
1956,3.6,11,https://www.myntra.com/jeans/the-indian-garage-co/the-indian-garage-co-men-blue-slim-fit-stretchable-jeans/15313770/buy,The Indian Garage Co,Men Slim Fit Jeans,30,Rs. 659,Rs. 1999,(67% OFF),bottomwear
1957,0.0,0,https://www.myntra.com/shorts/the-indian-garage-co/the-indian-garage-co-men-black-solid-shorts/18953906/buy,The Indian Garage Co,Men Solid Shorts,30,Rs. 494,Rs. 1499,(67% OFF),bottomwear
1958,3.6,5,https://www.myntra.com/trousers/united-denim/united-denim-men-mid-rise-jogger-stretchable-denim-trousers/22600858/buy,UNITED DENIM,Men Mid Rise Denim Jogger,28,Rs. 599,Rs. 1499,(60% OFF),bottomwear
1959,4.5,6,https://www.myntra.com/trousers/ketch/ketch-men-beige-solid-joggers-trousers/17278946/buy,KETCH,Men Solid Joggers Trousers,32,Rs. 650,Rs. 1649,(Rs. 999 OFF),bottomwear
1960,4.4,33,https://www.myntra.com/shorts/mast--harbour/mast--harbour-men-navy-blue-conversational-printed-shorts/17580074/buy,Mast & Harbour,Men Conversational Shorts,28,Rs. 524,Rs. 1499,(65% OFF),bottomwear
1961,0.0,0,https://www.myntra.com/track-pants/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-yoga-men-jade-organic-cotton-solid-track-pants/17859218/buy,HRX by Hrithik Roshan,Men Yoga Track Pants,L,Rs. 599,Rs. 1999,(70% OFF),bottomwear
1962,3.5,126,https://www.myntra.com/jeans/ketch/ketch-men-blue-slim-fit-mildly-stretchable-jeans/16711232/buy,KETCH,Men Slim Fit Jeans,34,Rs. 649,Rs. 1599,(Rs. 950 OFF),bottomwear
1963,3.3,12,https://www.myntra.com/jeans/ketch/ketch-men-grey-tapered-fit-slash-knee-heavy-fade-stretchable-cropped-jeans/15836014/buy,KETCH,Men Tapered Fit Jeans,30,Rs. 671,Rs. 2099,(68% OFF),bottomwear
1964,3.3,283,https://www.myntra.com/jeans/roadster/-roadster-the-lifestyle-co-slim-tapered-fit-light-fade-stretchable-jeans/14637742/buy,Roadster,Men Slim Tapered Fit Jeans,28,Rs. 664,Rs. 1899,(65% OFF),bottomwear
1965,3.6,22,https://www.myntra.com/jeans/ketch/ketch-men-grey-tapered-fit-heavy-fade-stretchable-jeans/15782220/buy,KETCH,Men Tapered Fit Jeans,30,Rs. 629,Rs. 1749,(64% OFF),bottomwear
1966,0.0,0,https://www.myntra.com/jeans/v-mart/v-mart-men-blue-classic-slim-fit-light-fade-jeans/19096558/buy,V-Mart,Men Slim Fit Jeans,28,Rs. 660,Rs. 1100,(40% OFF),bottomwear
1967,4.6,21,https://www.myntra.com/shorts/arise/arise-men-maroon-solid-shorts/17900074/buy,ARISE,Men Solid Shorts,34,Rs. 489,Rs. 999,(51% OFF),bottomwear
1968,0.0,0,https://www.myntra.com/trousers/encore-by-invictus/encore-by-invictus-men-checked-casual-trousers/18515640/buy,encore by INVICTUS,Men Checked Casual Trousers,28,Rs. 664,Rs. 1898,(65% OFF),bottomwear
1969,4.1,1.1k,https://www.myntra.com/track-pants/highlander/men-highlander-men-grey-solid-slim-fit-track-pants/13815358/buy,HIGHLANDER,Men Solid Slim-Fit Track Pants,S,Rs. 575,Rs. 899,(36% OFF),bottomwear
1970,2.5,6,https://www.myntra.com/jeans/ketch/ketch-men-black-straight-fit-heavy-fade-stretchable-jeans/19612042/buy,KETCH,Men Straight Fit Jeans,32,Rs. 649,Rs. 1749,(Rs. 1100 OFF),bottomwear
1971,0.0,0,https://www.myntra.com/jeans/people/people-men-blue-skinny-fit-mid-rise-jeans/16910930/buy,People,Men Skinny Fit Jeans,32,Rs. 619,Rs. 1549,(60% OFF),bottomwear
1972,4.3,288,https://www.myntra.com/shorts/highlander/highlander-men-black-shorts/17657080/buy,HIGHLANDER,Men Shorts,32,Rs. 463,Rs. 799,(42% OFF),bottomwear
1974,3.3,47,https://www.myntra.com/trousers/ketch/ketch-men-grey-tapered-fit-easy-wash-cotton-chinos-trousers/15769322/buy,KETCH,Men Tapered Fit Chinos,34,Rs. 649,Rs. 1599,(Rs. 950 OFF),bottomwear
1975,0.0,0,https://www.myntra.com/track-pants/styli/styli-men-slim-fit-cotton-joggers/21610218/buy,Styli,Men Slim Fit Cotton Joggers,L,Rs. 584,Rs. 899,(35% OFF),bottomwear
1976,3.8,17,https://www.myntra.com/jeans/roadster/the-roadster-lifestyle-co-men-blue-slim-fit-mildly-distressed-light-fade-stretchable-jeans/17780840/buy,Roadster,Men Slim Fit Jeans,32,Rs. 659,Rs. 2199,(70% OFF),bottomwear
1977,4.6,5,https://www.myntra.com/shorts/highlander/highlander-men-pack-of-2-checked-shorts/21546388/buy,HIGHLANDER,Men Pack of 2 Checked Shorts,30,Rs. 471,Rs. 1149,(59% OFF),bottomwear
